lemma,mood,tense,person,value,status,note
querer,imperative,impNeg,2s_tu,no quieras,Mismatch,Esperado: no queras
querer,imperative,impNeg,2s_vos,no quieras,Mismatch,Esperado: no queras
querer,subjunctive,subjPres,2s_tu,quieras,Mismatch,Esperado: queras
querer,subjunctive,subjPres,2s_vos,quieras,Mismatch,Esperado: queras
querer,indicative,presFuturate,1s,quiero,Mismatch,Esperado: quero
querer,indicative,presFuturate,2s_tu,quieres,Mismatch,Esperado: queres
querer,indicative,presFuturate,3s,quiere,Mismatch,Esperado: quere
querer,indicative,fut,1s,querré,Mismatch,Esperado: quereré
querer,indicative,fut,2s_tu,querrás,Mismatch,Esperado: quererás
querer,indicative,fut,2s_vos,querrás,Mismatch,Esperado: quererás
querer,indicative,fut,3s,querrá,Mismatch,Esperado: quererá
querer,indicative,fut,1p,querremos,Mismatch,Esperado: quereremos
querer,indicative,fut,2p_vosotros,querréis,Mismatch,Esperado: quereréis
querer,indicative,fut,3p,querrán,Mismatch,Esperado: quererán
querer,conditional,cond,1s,querría,Mismatch,Esperado: querería
querer,conditional,cond,2s_tu,querrías,Mismatch,Esperado: quererías
querer,conditional,cond,2s_vos,querrías,Mismatch,Esperado: quererías
querer,conditional,cond,3s,querría,Mismatch,Esperado: querería
querer,conditional,cond,1p,querríamos,Mismatch,Esperado: quereríamos
querer,conditional,cond,2p_vosotros,querríais,Mismatch,Esperado: quereríais
querer,conditional,cond,3p,querrían,Mismatch,Esperado: quererían
querer,indicative,pres,3p,quieren,Mismatch,Esperado: queren
querer,indicative,pretIndef,1s,quise,Mismatch,Esperado: querí
querer,indicative,pretIndef,2s_tu,quisiste,Mismatch,Esperado: queriste
querer,indicative,pretIndef,2s_vos,quisiste,Mismatch,Esperado: queriste
querer,indicative,pretIndef,3s,quiso,Mismatch,Esperado: querió
querer,indicative,pretIndef,1p,quisimos,Mismatch,Esperado: querimos
querer,indicative,pretIndef,2p_vosotros,quisisteis,Mismatch,Esperado: queristeis
querer,indicative,pretIndef,3p,quisieron,Mismatch,Esperado: querieron
querer,subjunctive,subjImpf,1s,quisara,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,2s_tu,quisaras,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,2s_vos,quisaras,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,3s,quisara,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,1p,quisáramos,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,2p_vosotros,quisarais,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjImpf,3p,quisaran,Unknown-tense,No hay generador para este modo/tiempo
querer,subjunctive,subjPres,1s,quiera,Mismatch,Esperado: quera
querer,subjunctive,subjPres,3s,quiera,Mismatch,Esperado: quera
querer,subjunctive,subjPres,3p,quieran,Mismatch,Esperado: queran
querer,imperative,impAff,3s,quiera,Mismatch,Esperado: quera
querer,imperative,impAff,3p,quieran,Mismatch,Esperado: queran
querer,imperative,impNeg,3s,no quiera,Mismatch,Esperado: no quera
querer,imperative,impNeg,3p,no quieran,Mismatch,Esperado: no queran
poder,indicative,pres,1s,puedo,Mismatch,Esperado: podo
poder,indicative,pres,2s_tu,puedes,Mismatch,Esperado: podes
poder,indicative,pres,3s,puede,Mismatch,Esperado: pode
poder,indicative,pres,3p,pueden,Mismatch,Esperado: poden
poder,indicative,pretIndef,1s,pude,Mismatch,Esperado: podí
poder,indicative,pretIndef,2s_tu,pudiste,Mismatch,Esperado: podiste | 'accepts' inválido para vos: pudiste (esperado podiste)
poder,indicative,pretIndef,3s,pudo,Mismatch,Esperado: podió
poder,indicative,pretIndef,1p,pudimos,Mismatch,Esperado: podimos
poder,indicative,pretIndef,2p_vosotros,pudisteis,Mismatch,Esperado: podisteis
poder,indicative,pretIndef,3p,pudieron,Mismatch,Esperado: podieron
poder,subjunctive,subjPres,1s,pueda,Mismatch,Esperado: poda
poder,subjunctive,subjPres,2s_tu,puedas,Mismatch,Esperado: podas | 'accepts' inválido para vos: puedas (esperado podas)
poder,subjunctive,subjPres,3s,pueda,Mismatch,Esperado: poda
poder,subjunctive,subjPres,3p,puedan,Mismatch,Esperado: podan
poder,conditional,cond,1s,podría,Mismatch,Esperado: podería
poder,conditional,cond,2s_tu,podrías,Mismatch,Esperado: poderías | 'accepts' inválido para vos: podrías (esperado poderías)
poder,conditional,cond,3s,podría,Mismatch,Esperado: podería
poder,conditional,cond,1p,podríamos,Mismatch,Esperado: poderíamos
poder,conditional,cond,2p_vosotros,podríais,Mismatch,Esperado: poderíais
poder,conditional,cond,3p,podrían,Mismatch,Esperado: poderían
poder,indicative,fut,1s,podré,Mismatch,Esperado: poderé
poder,indicative,fut,2s_tu,podrás,Mismatch,Esperado: poderás | 'accepts' inválido para vos: podrás (esperado poderás)
poder,indicative,fut,3s,podrá,Mismatch,Esperado: poderá
poder,indicative,fut,1p,podremos,Mismatch,Esperado: poderemos
poder,indicative,fut,2p_vosotros,podréis,Mismatch,Esperado: poderéis
poder,indicative,fut,3p,podrán,Mismatch,Esperado: poderán
poder,nonfinite,ger,,pudiendo,Mismatch,Esperado: podiendo
poder,indicative,fut,2s_vos,podrás,Mismatch,Esperado: poderás
poder,conditional,cond,2s_vos,podrías,Mismatch,Esperado: poderías
poder,indicative,pretIndef,2s_vos,pudiste,Mismatch,Esperado: podiste
poder,subjunctive,subjPres,2s_vos,puedas,Mismatch,Esperado: podas
poder,imperative,impAff,3s,pueda,Mismatch,Esperado: poda
poder,imperative,impAff,3p,puedan,Mismatch,Esperado: podan
poder,imperative,impNeg,2s_tu,no puedas,Mismatch,Esperado: no podas
poder,imperative,impNeg,2s_vos,no puedas,Mismatch,Esperado: no podas
poder,imperative,impNeg,3s,no pueda,Mismatch,Esperado: no poda
poder,imperative,impNeg,3p,no puedan,Mismatch,Esperado: no podan
poder,subjunctive,subjImpf,1s,pudiera,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,2s_tu,pudieras,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,2s_vos,pudieras,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,3s,pudiera,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,1p,pudiéramos,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,2p_vosotros,pudierais,Unknown-tense,No hay generador para este modo/tiempo
poder,subjunctive,subjImpf,3p,pudieran,Unknown-tense,No hay generador para este modo/tiempo
salir,indicative,pres,1s,salgo,Mismatch,Esperado: salo
salir,imperative,impAff,2s_tu,sal,Mismatch,Esperado: sale
salir,imperative,impNeg,2s_tu,no salgas,Mismatch,Esperado: no salas
salir,imperative,impNeg,2s_vos,no salgas,Mismatch,Esperado: no salas
salir,subjunctive,subjPres,2s_tu,salgas,Mismatch,Esperado: salas
salir,subjunctive,subjPres,2s_vos,salgas,Mismatch,Esperado: salas
salir,indicative,fut,1s,saldré,Mismatch,Esperado: saliré
salir,indicative,fut,2s_tu,saldrás,Mismatch,Esperado: salirás
salir,indicative,fut,2s_vos,saldrás,Mismatch,Esperado: salirás
salir,indicative,fut,3s,saldrá,Mismatch,Esperado: salirá
salir,indicative,fut,1p,saldremos,Mismatch,Esperado: saliremos
salir,indicative,fut,2p_vosotros,saldréis,Mismatch,Esperado: saliréis
salir,indicative,fut,3p,saldrán,Mismatch,Esperado: salirán
salir,conditional,cond,1s,saldría,Mismatch,Esperado: saliría
salir,conditional,cond,2s_tu,saldrías,Mismatch,Esperado: salirías
salir,conditional,cond,2s_vos,saldrías,Mismatch,Esperado: salirías
salir,conditional,cond,3s,saldría,Mismatch,Esperado: saliría
salir,conditional,cond,1p,saldríamos,Mismatch,Esperado: saliríamos
salir,conditional,cond,2p_vosotros,saldríais,Mismatch,Esperado: saliríais
salir,conditional,cond,3p,saldrían,Mismatch,Esperado: salirían
salir,subjunctive,subjImpf,1s,salara,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,2s_tu,salaras,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,2s_vos,salaras,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,3s,salara,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,1p,saláramos,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,2p_vosotros,salarais,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjImpf,3p,salaran,Unknown-tense,No hay generador para este modo/tiempo
salir,subjunctive,subjPres,1s,salga,Mismatch,Esperado: sala
salir,subjunctive,subjPres,3s,salga,Mismatch,Esperado: sala
salir,subjunctive,subjPres,1p,salgamos,Mismatch,Esperado: salamos
salir,subjunctive,subjPres,2p_vosotros,salgáis,Mismatch,Esperado: saláis
salir,subjunctive,subjPres,3p,salgan,Mismatch,Esperado: salan
salir,imperative,impAff,3s,salga,Mismatch,Esperado: sala
salir,imperative,impAff,1p,salgamos,Mismatch,Esperado: salamos
salir,imperative,impAff,3p,salgan,Mismatch,Esperado: salan
salir,imperative,impNeg,3s,no salga,Mismatch,Esperado: no sala
salir,imperative,impNeg,1p,no salgamos,Mismatch,Esperado: no salamos
salir,imperative,impNeg,2p_vosotros,no salgáis,Mismatch,Esperado: no saláis
salir,imperative,impNeg,3p,no salgan,Mismatch,Esperado: no salan
poner,indicative,pres,1s,pongo,Mismatch,Esperado: pono
poner,indicative,pretIndef,1s,puse,Mismatch,Esperado: poní
poner,indicative,pretIndef,2s_tu,pusiste,Mismatch,Esperado: poniste | 'accepts' inválido para vos: pusiste (esperado poniste)
poner,indicative,pretIndef,3s,puso,Mismatch,Esperado: ponió
poner,indicative,pretIndef,1p,pusimos,Mismatch,Esperado: ponimos
poner,indicative,pretIndef,2p_vosotros,pusisteis,Mismatch,Esperado: ponisteis
poner,indicative,pretIndef,3p,pusieron,Mismatch,Esperado: ponieron
poner,indicative,fut,1s,pondré,Mismatch,Esperado: poneré
poner,indicative,fut,2s_tu,pondrás,Mismatch,Esperado: ponerás | 'accepts' inválido para vos: pondrás (esperado ponerás)
poner,indicative,fut,3s,pondrá,Mismatch,Esperado: ponerá
poner,indicative,fut,1p,pondremos,Mismatch,Esperado: poneremos
poner,indicative,fut,2p_vosotros,pondréis,Mismatch,Esperado: poneréis
poner,indicative,fut,3p,pondrán,Mismatch,Esperado: ponerán
poner,conditional,cond,1s,pondría,Mismatch,Esperado: ponería
poner,conditional,cond,2s_tu,pondrías,Mismatch,Esperado: ponerías | 'accepts' inválido para vos: pondrías (esperado ponerías)
poner,conditional,cond,3s,pondría,Mismatch,Esperado: ponería
poner,conditional,cond,1p,pondríamos,Mismatch,Esperado: poneríamos
poner,conditional,cond,2p_vosotros,pondríais,Mismatch,Esperado: poneríais
poner,conditional,cond,3p,pondrían,Mismatch,Esperado: ponerían
poner,subjunctive,subjPres,1s,ponga,Mismatch,Esperado: pona
poner,subjunctive,subjPres,2s_tu,pongas,Mismatch,Esperado: ponas | 'accepts' inválido para vos: pongas (esperado ponas)
poner,subjunctive,subjPres,3s,ponga,Mismatch,Esperado: pona
poner,subjunctive,subjPres,1p,pongamos,Mismatch,Esperado: ponamos
poner,subjunctive,subjPres,2p_vosotros,pongáis,Mismatch,Esperado: ponáis
poner,subjunctive,subjPres,3p,pongan,Mismatch,Esperado: ponan
poner,imperative,impAff,2s_tu,pon,Mismatch,Esperado: pone
poner,imperative,impAff,3s,ponga,Mismatch,Esperado: pona
poner,imperative,impAff,1p,pongamos,Mismatch,Esperado: ponamos
poner,imperative,impAff,3p,pongan,Mismatch,Esperado: ponan
poner,nonfinite,part,,puesto,Mismatch,Esperado: ponido
poner,indicative,pretPerf,1s,he puesto,Mismatch,Esperado: he ponido
poner,indicative,pretPerf,2s_tu,has puesto,Mismatch,Esperado: has ponido
poner,indicative,pretPerf,2s_vos,has puesto,Mismatch,Esperado: has ponido
poner,indicative,pretPerf,3s,ha puesto,Mismatch,Esperado: ha ponido
poner,indicative,pretPerf,1p,hemos puesto,Mismatch,Esperado: hemos ponido
poner,indicative,pretPerf,2p_vosotros,habéis puesto,Mismatch,Esperado: habéis ponido
poner,indicative,pretPerf,3p,han puesto,Mismatch,Esperado: han ponido
poner,indicative,plusc,1s,había puesto,Mismatch,Esperado: había ponido
poner,indicative,plusc,2s_tu,habías puesto,Mismatch,Esperado: habías ponido
poner,indicative,plusc,2s_vos,habías puesto,Mismatch,Esperado: habías ponido
poner,indicative,plusc,3s,había puesto,Mismatch,Esperado: había ponido
poner,indicative,plusc,1p,habíamos puesto,Mismatch,Esperado: habíamos ponido
poner,indicative,plusc,2p_vosotros,habíais puesto,Mismatch,Esperado: habíais ponido
poner,indicative,plusc,3p,habían puesto,Mismatch,Esperado: habían ponido
poner,indicative,futPerf,1s,habré puesto,Mismatch,Esperado: habré ponido
poner,indicative,futPerf,2s_tu,habrás puesto,Mismatch,Esperado: habrás ponido
poner,indicative,futPerf,2s_vos,habrás puesto,Mismatch,Esperado: habrás ponido
poner,indicative,futPerf,3s,habrá puesto,Mismatch,Esperado: habrá ponido
poner,indicative,futPerf,1p,habremos puesto,Mismatch,Esperado: habremos ponido
poner,indicative,futPerf,2p_vosotros,habréis puesto,Mismatch,Esperado: habréis ponido
poner,indicative,futPerf,3p,habrán puesto,Mismatch,Esperado: habrán ponido
poner,conditional,condPerf,1s,habría puesto,Mismatch,Esperado: habría ponido
poner,conditional,condPerf,2s_tu,habrías puesto,Mismatch,Esperado: habrías ponido
poner,conditional,condPerf,2s_vos,habrías puesto,Mismatch,Esperado: habrías ponido
poner,conditional,condPerf,3s,habría puesto,Mismatch,Esperado: habría ponido
poner,conditional,condPerf,1p,habríamos puesto,Mismatch,Esperado: habríamos ponido
poner,conditional,condPerf,2p_vosotros,habríais puesto,Mismatch,Esperado: habríais ponido
poner,conditional,condPerf,3p,habrían puesto,Mismatch,Esperado: habrían ponido
poner,subjunctive,subjPerf,1s,haya puesto,Mismatch,Esperado: haya ponido
poner,subjunctive,subjPerf,2s_tu,hayas puesto,Mismatch,Esperado: hayas ponido
poner,subjunctive,subjPerf,2s_vos,hayas puesto,Mismatch,Esperado: hayas ponido
poner,subjunctive,subjPerf,3s,haya puesto,Mismatch,Esperado: haya ponido
poner,subjunctive,subjPerf,1p,hayamos puesto,Mismatch,Esperado: hayamos ponido
poner,subjunctive,subjPerf,2p_vosotros,hayáis puesto,Mismatch,Esperado: hayáis ponido
poner,subjunctive,subjPerf,3p,hayan puesto,Mismatch,Esperado: hayan ponido
poner,subjunctive,subjPlusc,1s,hubiera puesto,Mismatch,"Esperado: ['hubiera ponido', 'hubiese ponido']"
poner,subjunctive,subjPlusc,2s_tu,hubieras puesto,Mismatch,"Esperado: ['hubieras ponido', 'hubieses ponido']"
poner,subjunctive,subjPlusc,2s_vos,hubieras puesto,Mismatch,"Esperado: ['hubieras ponido', 'hubieses ponido']"
poner,subjunctive,subjPlusc,3s,hubiera puesto,Mismatch,"Esperado: ['hubiera ponido', 'hubiese ponido']"
poner,subjunctive,subjPlusc,1p,hubiéramos puesto,Mismatch,"Esperado: ['hubiéramos ponido', 'hubiésemos ponido']"
poner,subjunctive,subjPlusc,2p_vosotros,hubierais puesto,Mismatch,"Esperado: ['hubierais ponido', 'hubieseis ponido']"
poner,subjunctive,subjPlusc,3p,hubieran puesto,Mismatch,"Esperado: ['hubieran ponido', 'hubiesen ponido']"
poner,indicative,fut,2s_vos,pondrás,Mismatch,Esperado: ponerás
poner,conditional,cond,2s_vos,pondrías,Mismatch,Esperado: ponerías
poner,imperative,impNeg,2s_tu,no pongas,Mismatch,Esperado: no ponas
poner,imperative,impNeg,2s_vos,no pongas,Mismatch,Esperado: no ponas
poner,indicative,pretIndef,2s_vos,pusiste,Mismatch,Esperado: poniste
poner,subjunctive,subjPres,2s_vos,pongas,Mismatch,Esperado: ponas
poner,imperative,impNeg,3s,no ponga,Mismatch,Esperado: no pona
poner,imperative,impNeg,1p,no pongamos,Mismatch,Esperado: no ponamos
poner,imperative,impNeg,2p_vosotros,no pongáis,Mismatch,Esperado: no ponáis
poner,imperative,impNeg,3p,no pongan,Mismatch,Esperado: no ponan
poner,subjunctive,subjImpf,1s,pusiera,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,2s_tu,pusieras,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,2s_vos,pusieras,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,3s,pusiera,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,1p,pusiéramos,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,2p_vosotros,pusierais,Unknown-tense,No hay generador para este modo/tiempo
poner,subjunctive,subjImpf,3p,pusieran,Unknown-tense,No hay generador para este modo/tiempo
traer,indicative,pres,1s,traigo,Mismatch,Esperado: trao
traer,indicative,pretIndef,1s,traje,Mismatch,Esperado: traí
traer,indicative,pretIndef,2s_tu,trajiste,Mismatch,Esperado: traiste | 'accepts' inválido para vos: trajiste (esperado traiste)
traer,indicative,pretIndef,3s,trajo,Mismatch,Esperado: traió
traer,indicative,pretIndef,1p,trajimos,Mismatch,Esperado: traimos
traer,indicative,pretIndef,2p_vosotros,trajisteis,Mismatch,Esperado: traisteis
traer,indicative,pretIndef,3p,trajeron,Mismatch,Esperado: traieron
traer,subjunctive,subjPres,1s,traiga,Mismatch,Esperado: traa
traer,subjunctive,subjPres,2s_tu,traigas,Mismatch,Esperado: traas | 'accepts' inválido para vos: traigas (esperado traas)
traer,subjunctive,subjPres,3s,traiga,Mismatch,Esperado: traa
traer,subjunctive,subjPres,1p,traigamos,Mismatch,Esperado: traamos
traer,subjunctive,subjPres,2p_vosotros,traigáis,Mismatch,Esperado: traáis
traer,subjunctive,subjPres,3p,traigan,Mismatch,Esperado: traan
traer,nonfinite,ger,,trayendo,Mismatch,Esperado: traiendo
traer,nonfinite,part,,traído,Mismatch,Esperado: traido
traer,indicative,pretIndef,2s_vos,trajiste,Mismatch,Esperado: traiste
traer,subjunctive,subjPres,2s_vos,traigas,Mismatch,Esperado: traas
traer,imperative,impAff,3s,traiga,Mismatch,Esperado: traa
traer,imperative,impAff,1p,traigamos,Mismatch,Esperado: traamos
traer,imperative,impAff,3p,traigan,Mismatch,Esperado: traan
traer,imperative,impNeg,2s_tu,no traigas,Mismatch,Esperado: no traas
traer,imperative,impNeg,2s_vos,no traigas,Mismatch,Esperado: no traas
traer,imperative,impNeg,3s,no traiga,Mismatch,Esperado: no traa
traer,imperative,impNeg,1p,no traigamos,Mismatch,Esperado: no traamos
traer,imperative,impNeg,2p_vosotros,no traigáis,Mismatch,Esperado: no traáis
traer,imperative,impNeg,3p,no traigan,Mismatch,Esperado: no traan
traer,subjunctive,subjImpf,1s,trajera,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,2s_tu,trajeras,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,2s_vos,trajeras,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,3s,trajera,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,1p,trajéramos,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,2p_vosotros,trajerais,Unknown-tense,No hay generador para este modo/tiempo
traer,subjunctive,subjImpf,3p,trajeran,Unknown-tense,No hay generador para este modo/tiempo
caer,indicative,pres,1s,caigo,Mismatch,Esperado: cao
caer,indicative,pretIndef,2s_tu,caíste,Mismatch,Esperado: caiste | 'accepts' inválido para vos: caíste (esperado caiste)
caer,indicative,pretIndef,3s,cayó,Mismatch,Esperado: caió
caer,indicative,pretIndef,1p,caímos,Mismatch,Esperado: caimos
caer,indicative,pretIndef,2p_vosotros,caísteis,Mismatch,Esperado: caisteis
caer,indicative,pretIndef,3p,cayeron,Mismatch,Esperado: caieron
caer,subjunctive,subjPres,1s,caiga,Mismatch,Esperado: caa
caer,subjunctive,subjPres,2s_tu,caigas,Mismatch,Esperado: caas | 'accepts' inválido para vos: caigas (esperado caas)
caer,subjunctive,subjPres,3s,caiga,Mismatch,Esperado: caa
caer,subjunctive,subjPres,1p,caigamos,Mismatch,Esperado: caamos
caer,subjunctive,subjPres,2p_vosotros,caigáis,Mismatch,Esperado: caáis
caer,subjunctive,subjPres,3p,caigan,Mismatch,Esperado: caan
caer,nonfinite,ger,,cayendo,Mismatch,Esperado: caiendo
caer,nonfinite,part,,caído,Mismatch,Esperado: caido
caer,subjunctive,subjPres,2s_vos,caigas,Mismatch,Esperado: caas
caer,imperative,impAff,3s,caiga,Mismatch,Esperado: caa
caer,imperative,impAff,1p,caigamos,Mismatch,Esperado: caamos
caer,imperative,impAff,3p,caigan,Mismatch,Esperado: caan
caer,imperative,impNeg,2s_tu,no caigas,Mismatch,Esperado: no caas
caer,imperative,impNeg,2s_vos,no caigas,Mismatch,Esperado: no caas
caer,imperative,impNeg,3s,no caiga,Mismatch,Esperado: no caa
caer,imperative,impNeg,1p,no caigamos,Mismatch,Esperado: no caamos
caer,imperative,impNeg,2p_vosotros,no caigáis,Mismatch,Esperado: no caáis
caer,imperative,impNeg,3p,no caigan,Mismatch,Esperado: no caan
caer,subjunctive,subjImpf,1s,cayera,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,2s_tu,cayeras,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,2s_vos,cayeras,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,3s,cayera,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,1p,cayéramos,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,2p_vosotros,cayerais,Unknown-tense,No hay generador para este modo/tiempo
caer,subjunctive,subjImpf,3p,cayeran,Unknown-tense,No hay generador para este modo/tiempo
valer,indicative,pres,1s,valgo,Mismatch,Esperado: valo
valer,indicative,fut,1s,valdré,Mismatch,Esperado: valeré
valer,indicative,fut,2s_tu,valdrás,Mismatch,Esperado: valerás
valer,indicative,fut,2s_vos,valdrás,Mismatch,Esperado: valerás
valer,indicative,fut,3s,valdrá,Mismatch,Esperado: valerá
valer,indicative,fut,1p,valdremos,Mismatch,Esperado: valeremos
valer,indicative,fut,2p_vosotros,valdréis,Mismatch,Esperado: valeréis
valer,indicative,fut,3p,valdrán,Mismatch,Esperado: valerán
valer,imperative,impNeg,2s_tu,no valgas,Mismatch,Esperado: no valas
valer,imperative,impNeg,2s_vos,no valgas,Mismatch,Esperado: no valas
valer,subjunctive,subjPres,1s,valga,Mismatch,Esperado: vala
valer,subjunctive,subjPres,2s_tu,valgas,Mismatch,Esperado: valas
valer,subjunctive,subjPres,2s_vos,valgas,Mismatch,Esperado: valas
valer,subjunctive,subjPres,3s,valga,Mismatch,Esperado: vala
valer,subjunctive,subjPres,1p,valgamos,Mismatch,Esperado: valamos
valer,subjunctive,subjPres,2p_vosotros,valgáis,Mismatch,Esperado: valáis
valer,subjunctive,subjPres,3p,valgan,Mismatch,Esperado: valan
valer,conditional,cond,1s,valdría,Mismatch,Esperado: valería
valer,conditional,cond,2s_tu,valdrías,Mismatch,Esperado: valerías
valer,conditional,cond,2s_vos,valdrías,Mismatch,Esperado: valerías
valer,conditional,cond,3s,valdría,Mismatch,Esperado: valería
valer,conditional,cond,1p,valdríamos,Mismatch,Esperado: valeríamos
valer,conditional,cond,2p_vosotros,valdríais,Mismatch,Esperado: valeríais
valer,conditional,cond,3p,valdrían,Mismatch,Esperado: valerían
valer,imperative,impAff,3s,valga,Mismatch,Esperado: vala
valer,imperative,impAff,1p,valgamos,Mismatch,Esperado: valamos
valer,imperative,impAff,3p,valgan,Mismatch,Esperado: valan
valer,imperative,impNeg,3s,no valga,Mismatch,Esperado: no vala
valer,imperative,impNeg,1p,no valgamos,Mismatch,Esperado: no valamos
valer,imperative,impNeg,2p_vosotros,no valgáis,Mismatch,Esperado: no valáis
valer,imperative,impNeg,3p,no valgan,Mismatch,Esperado: no valan
valer,subjunctive,subjImpf,1s,valra,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,2s_tu,valras,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,2s_vos,valras,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,3s,valra,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,1p,válramos,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,2p_vosotros,valrais,Unknown-tense,No hay generador para este modo/tiempo
valer,subjunctive,subjImpf,3p,valran,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,1s,amara,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,2s_tu,amaras,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,2s_vos,amaras,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,3s,amara,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,1p,amáramos,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,2p_vosotros,amarais,Unknown-tense,No hay generador para este modo/tiempo
amar,subjunctive,subjImpf,3p,amaran,Unknown-tense,No hay generador para este modo/tiempo
escribir,nonfinite,part,,escrito,Mismatch,Esperado: escribido
escribir,indicative,pretPerf,1s,he escrito,Mismatch,Esperado: he escribido
escribir,indicative,pretPerf,2s_tu,has escrito,Mismatch,Esperado: has escribido
escribir,indicative,pretPerf,2s_vos,has escrito,Mismatch,Esperado: has escribido
escribir,indicative,pretPerf,3s,ha escrito,Mismatch,Esperado: ha escribido
escribir,indicative,pretPerf,1p,hemos escrito,Mismatch,Esperado: hemos escribido
escribir,indicative,pretPerf,2p_vosotros,habéis escrito,Mismatch,Esperado: habéis escribido
escribir,indicative,pretPerf,3p,han escrito,Mismatch,Esperado: han escribido
escribir,indicative,plusc,1s,había escrito,Mismatch,Esperado: había escribido
escribir,indicative,plusc,2s_tu,habías escrito,Mismatch,Esperado: habías escribido
escribir,indicative,plusc,2s_vos,habías escrito,Mismatch,Esperado: habías escribido
escribir,indicative,plusc,3s,había escrito,Mismatch,Esperado: había escribido
escribir,indicative,plusc,1p,habíamos escrito,Mismatch,Esperado: habíamos escribido
escribir,indicative,plusc,2p_vosotros,habíais escrito,Mismatch,Esperado: habíais escribido
escribir,indicative,plusc,3p,habían escrito,Mismatch,Esperado: habían escribido
escribir,indicative,futPerf,1s,habré escrito,Mismatch,Esperado: habré escribido
escribir,indicative,futPerf,2s_tu,habrás escrito,Mismatch,Esperado: habrás escribido
escribir,indicative,futPerf,2s_vos,habrás escrito,Mismatch,Esperado: habrás escribido
escribir,indicative,futPerf,3s,habrá escrito,Mismatch,Esperado: habrá escribido
escribir,indicative,futPerf,1p,habremos escrito,Mismatch,Esperado: habremos escribido
escribir,indicative,futPerf,2p_vosotros,habréis escrito,Mismatch,Esperado: habréis escribido
escribir,indicative,futPerf,3p,habrán escrito,Mismatch,Esperado: habrán escribido
escribir,conditional,condPerf,1s,habría escrito,Mismatch,Esperado: habría escribido
escribir,conditional,condPerf,2s_tu,habrías escrito,Mismatch,Esperado: habrías escribido
escribir,conditional,condPerf,2s_vos,habrías escrito,Mismatch,Esperado: habrías escribido
escribir,conditional,condPerf,3s,habría escrito,Mismatch,Esperado: habría escribido
escribir,conditional,condPerf,1p,habríamos escrito,Mismatch,Esperado: habríamos escribido
